Continuum,File,MeanF0,Duration   ,Gender,Section
1,female1,211.7555855,0.930121878,Female,1
1,female1,200.443942,0.930121878,Female,2
1,female1,192.8165025,0.930121878,Female,3
1,female1,,0.930121878,Female,4
1,female1,,0.930121878,Female,5
1,female1,,0.930121878,Female,6
1,female1,,0.930121878,Female,7
1,female1,249.2949523,0.930121878,Female,8
1,female1,234.2144516,0.930121878,Female,9
1,female1,215.4516782,0.930121878,Female,10
1,female1,,0.930121878,Female,11
1,female1,192.9180346,0.930121878,Female,12
1,female1,189.6731959,0.930121878,Female,13
1,female1,182.0901988,0.930121878,Female,14
1,female1,175.6095705,0.930121878,Female,15
1,female1,171.8044037,0.930121878,Female,16
1,female1,172.9790472,0.930121878,Female,17
1,female1,174.1250447,0.930121878,Female,18
1,female1,185.051417,0.930121878,Female,19
1,female1,202.1642253,0.930121878,Female,20
10,female10,202.3994176,0.778890201,Female,1
10,female10,195.9144877,0.778890201,Female,2
10,female10,195.8906321,0.778890201,Female,3
10,female10,,0.778890201,Female,4
10,female10,,0.778890201,Female,5
10,female10,,0.778890201,Female,6
10,female10,,0.778890201,Female,7
10,female10,218.4991166,0.778890201,Female,8
10,female10,211.2423442,0.778890201,Female,9
10,female10,195.9139558,0.778890201,Female,10
10,female10,,0.778890201,Female,11
10,female10,,0.778890201,Female,12
10,female10,242.5507262,0.778890201,Female,13
10,female10,251.0959703,0.778890201,Female,14
10,female10,264.6535423,0.778890201,Female,15
10,female10,278.8193812,0.778890201,Female,16
10,female10,292.7160146,0.778890201,Female,17
10,female10,304.1995448,0.778890201,Female,18
10,female10,313.8317746,0.778890201,Female,19
10,female10,328.4728809,0.778890201,Female,20
11,female11,201.2204491,0.749257143,Female,1
11,female11,194.1275097,0.749257143,Female,2
11,female11,196.4994363,0.749257143,Female,3
11,female11,,0.749257143,Female,4
11,female11,,0.749257143,Female,5
11,female11,,0.749257143,Female,6
11,female11,,0.749257143,Female,7
11,female11,212.5705234,0.749257143,Female,8
11,female11,207.5249345,0.749257143,Female,9
11,female11,195.5408377,0.749257143,Female,10
11,female11,195.0585302,0.749257143,Female,11
11,female11,,0.749257143,Female,12
11,female11,247.360733,0.749257143,Female,13
11,female11,256.1458669,0.749257143,Female,14
11,female11,271.9606214,0.749257143,Female,15
11,female11,288.2823815,0.749257143,Female,16
11,female11,304.0772163,0.749257143,Female,17
11,female11,317.0214764,0.749257143,Female,18
11,female11,326.7894606,0.749257143,Female,19
11,female11,338.8253331,0.749257143,Female,20
12,female12,198.9828649,0.7239296,Female,1
12,female12,192.9360249,0.7239296,Female,2
12,female12,198.5932517,0.7239296,Female,3
12,female12,,0.7239296,Female,4
12,female12,,0.7239296,Female,5
12,female12,,0.7239296,Female,6
12,female12,,0.7239296,Female,7
12,female12,212.2984596,0.7239296,Female,8
12,female12,204.2978938,0.7239296,Female,9
12,female12,193.7020936,0.7239296,Female,10
12,female12,196.5694074,0.7239296,Female,11
12,female12,,0.7239296,Female,12
12,female12,253.1592141,0.7239296,Female,13
12,female12,260.720754,0.7239296,Female,14
12,female12,279.0751625,0.7239296,Female,15
12,female12,297.4678979,0.7239296,Female,16
12,female12,315.4145741,0.7239296,Female,17
12,female12,329.9280216,0.7239296,Female,18
12,female12,340.2204351,0.7239296,Female,19
12,female12,351.642616,0.7239296,Female,20
2,female2,210.2871177,0.908688048,Female,1
2,female2,199.3931628,0.908688048,Female,2
2,female2,195.0722235,0.908688048,Female,3
2,female2,,0.908688048,Female,4
2,female2,,0.908688048,Female,5
2,female2,,0.908688048,Female,6
2,female2,,0.908688048,Female,7
2,female2,244.7640813,0.908688048,Female,8
2,female2,231.2051944,0.908688048,Female,9
2,female2,214.9038162,0.908688048,Female,10
2,female2,,0.908688048,Female,11
2,female2,,0.908688048,Female,12
2,female2,195.9585149,0.908688048,Female,13
2,female2,190.983117,0.908688048,Female,14
2,female2,186.5761719,0.908688048,Female,15
2,female2,184.3798442,0.908688048,Female,16
2,female2,186.639053,0.908688048,Female,17
2,female2,188.8144218,0.908688048,Female,18
2,female2,198.8360535,0.908688048,Female,19
2,female2,216.2803655,0.908688048,Female,20
3,female3,209.4976935,0.884205459,Female,1
3,female3,199.062935,0.884205459,Female,2
3,female3,194.0130695,0.884205459,Female,3
3,female3,,0.884205459,Female,4
3,female3,,0.884205459,Female,5
3,female3,,0.884205459,Female,6
3,female3,,0.884205459,Female,7
3,female3,244.7048806,0.884205459,Female,8
3,female3,230.2969096,0.884205459,Female,9
3,female3,216.4792405,0.884205459,Female,10
3,female3,,0.884205459,Female,11
3,female3,,0.884205459,Female,12
3,female3,202.3631148,0.884205459,Female,13
3,female3,200.2485102,0.884205459,Female,14
3,female3,197.4670571,0.884205459,Female,15
3,female3,196.7619662,0.884205459,Female,16
3,female3,199.5143985,0.884205459,Female,17
3,female3,203.2183951,0.884205459,Female,18
3,female3,210.1317753,0.884205459,Female,19
3,female3,227.527059,0.884205459,Female,20
4,female4,208.1192223,0.86540849,Female,1
4,female4,198.0475043,0.86540849,Female,2
4,female4,199.1804967,0.86540849,Female,3
4,female4,,0.86540849,Female,4
4,female4,,0.86540849,Female,5
4,female4,,0.86540849,Female,6
4,female4,,0.86540849,Female,7
4,female4,238.1713561,0.86540849,Female,8
4,female4,226.7188766,0.86540849,Female,9
4,female4,212.6421435,0.86540849,Female,10
4,female4,,0.86540849,Female,11
4,female4,,0.86540849,Female,12
4,female4,208.2557858,0.86540849,Female,13
4,female4,208.3775234,0.86540849,Female,14
4,female4,207.676146,0.86540849,Female,15
4,female4,208.9591572,0.86540849,Female,16
4,female4,213.0098269,0.86540849,Female,17
4,female4,217.7504014,0.86540849,Female,18
4,female4,224.9894839,0.86540849,Female,19
4,female4,241.7661314,0.86540849,Female,20
5,female5,207.1028064,0.858397881,Female,1
5,female5,197.7296889,0.858397881,Female,2
5,female5,198.427352,0.858397881,Female,3
5,female5,,0.858397881,Female,4
5,female5,,0.858397881,Female,5
5,female5,,0.858397881,Female,6
5,female5,,0.858397881,Female,7
5,female5,234.572729,0.858397881,Female,8
5,female5,222.9776281,0.858397881,Female,9
5,female5,209.0918787,0.858397881,Female,10
5,female5,,0.858397881,Female,11
5,female5,,0.858397881,Female,12
5,female5,213.8661892,0.858397881,Female,13
5,female5,216.2904698,0.858397881,Female,14
5,female5,218.2099834,0.858397881,Female,15
5,female5,221.4567537,0.858397881,Female,16
5,female5,227.4208067,0.858397881,Female,17
5,female5,232.6718035,0.858397881,Female,18
5,female5,242.5011534,0.858397881,Female,19
5,female5,258.7565447,0.858397881,Female,20
6,female6,206.0038007,0.829285498,Female,1
6,female6,196.9349104,0.829285498,Female,2
6,female6,196.4946947,0.829285498,Female,3
6,female6,,0.829285498,Female,4
6,female6,,0.829285498,Female,5
6,female6,,0.829285498,Female,6
6,female6,,0.829285498,Female,7
6,female6,232.6565085,0.829285498,Female,8
6,female6,221.9232605,0.829285498,Female,9
6,female6,208.6391116,0.829285498,Female,10
6,female6,,0.829285498,Female,11
6,female6,,0.829285498,Female,12
6,female6,218.7199169,0.829285498,Female,13
6,female6,223.702459,0.829285498,Female,14
6,female6,227.3637985,0.829285498,Female,15
6,female6,232.4448836,0.829285498,Female,16
6,female6,239.1557171,0.829285498,Female,17
6,female6,246.2423767,0.829285498,Female,18
6,female6,253.0944479,0.829285498,Female,19
6,female6,267.4811769,0.829285498,Female,20
7,female7,205.2010748,0.814991328,Female,1
7,female7,196.5611157,0.814991328,Female,2
7,female7,196.7845984,0.814991328,Female,3
7,female7,,0.814991328,Female,4
7,female7,,0.814991328,Female,5
7,female7,,0.814991328,Female,6
7,female7,,0.814991328,Female,7
7,female7,229.7429136,0.814991328,Female,8
7,female7,219.0385118,0.814991328,Female,9
7,female7,205.3749199,0.814991328,Female,10
7,female7,,0.814991328,Female,11
7,female7,,0.814991328,Female,12
7,female7,224.4291089,0.814991328,Female,13
7,female7,231.0160049,0.814991328,Female,14
7,female7,236.9261706,0.814991328,Female,15
7,female7,244.1563622,0.814991328,Female,16
7,female7,252.5196411,0.814991328,Female,17
7,female7,260.6531031,0.814991328,Female,18
7,female7,268.2068289,0.814991328,Female,19
7,female7,283.1117593,0.814991328,Female,20
8,female8,204.0136104,0.796678603,Female,1
8,female8,195.7653363,0.796678603,Female,2
8,female8,199.6705684,0.796678603,Female,3
8,female8,,0.796678603,Female,4
8,female8,,0.796678603,Female,5
8,female8,,0.796678603,Female,6
8,female8,,0.796678603,Female,7
8,female8,228.3818422,0.796678603,Female,8
8,female8,216.0648247,0.796678603,Female,9
8,female8,202.4356083,0.796678603,Female,10
8,female8,200.168541,0.796678603,Female,11
8,female8,,0.796678603,Female,12
8,female8,230.6863745,0.796678603,Female,13
8,female8,237.7659592,0.796678603,Female,14
8,female8,246.2309702,0.796678603,Female,15
8,female8,255.4654736,0.796678603,Female,16
8,female8,265.6525863,0.796678603,Female,17
8,female8,274.7354309,0.796678603,Female,18
8,female8,282.7596501,0.796678603,Female,19
8,female8,296.4766427,0.796678603,Female,20
9,female9,202.6633745,0.77653595,Female,1
9,female9,194.909689,0.77653595,Female,2
9,female9,196.723753,0.77653595,Female,3
9,female9,,0.77653595,Female,4
9,female9,,0.77653595,Female,5
9,female9,,0.77653595,Female,6
9,female9,,0.77653595,Female,7
9,female9,225.8983347,0.77653595,Female,8
9,female9,213.1009282,0.77653595,Female,9
9,female9,201.5837208,0.77653595,Female,10
9,female9,203.6905921,0.77653595,Female,11
9,female9,,0.77653595,Female,12
9,female9,234.62687,0.77653595,Female,13
9,female9,244.2853913,0.77653595,Female,14
9,female9,254.9166945,0.77653595,Female,15
9,female9,266.4230265,0.77653595,Female,16
9,female9,278.2705041,0.77653595,Female,17
9,female9,288.6859043,0.77653595,Female,18
9,female9,296.9638784,0.77653595,Female,19
9,female9,309.8718103,0.77653595,Female,20
1,male1,115.5977196,0.595718975,Male,1
1,male1,115.2637329,0.595718975,Male,2
1,male1,119.5003285,0.595718975,Male,3
1,male1,,0.595718975,Male,4
1,male1,,0.595718975,Male,5
1,male1,,0.595718975,Male,6
1,male1,,0.595718975,Male,7
1,male1,142.6374049,0.595718975,Male,8
1,male1,134.5159677,0.595718975,Male,9
1,male1,123.0153133,0.595718975,Male,10
1,male1,117.2001447,0.595718975,Male,11
1,male1,114.2229105,0.595718975,Male,12
1,male1,,0.595718975,Male,13
1,male1,106.6673107,0.595718975,Male,14
1,male1,98.67978813,0.595718975,Male,15
1,male1,89.98993283,0.595718975,Male,16
1,male1,86.04648253,0.595718975,Male,17
1,male1,85.12212912,0.595718975,Male,18
1,male1,83.8493145,0.595718975,Male,19
1,male1,83.42130782,0.595718975,Male,20
10,male10,110.1668985,0.551813996,Male,1
10,male10,110.0629939,0.551813996,Male,2
10,male10,113.6437091,0.551813996,Male,3
10,male10,,0.551813996,Male,4
10,male10,,0.551813996,Male,5
10,male10,,0.551813996,Male,6
10,male10,,0.551813996,Male,7
10,male10,120.6790943,0.551813996,Male,8
10,male10,116.6378877,0.551813996,Male,9
10,male10,104.7338143,0.551813996,Male,10
10,male10,102.2775552,0.551813996,Male,11
10,male10,112.1083099,0.551813996,Male,12
10,male10,,0.551813996,Male,13
10,male10,148.1625602,0.551813996,Male,14
10,male10,149.8567867,0.551813996,Male,15
10,male10,149.676628,0.551813996,Male,16
10,male10,156.802336,0.551813996,Male,17
10,male10,163.2901934,0.551813996,Male,18
10,male10,163.984267,0.551813996,Male,19
10,male10,160.6114468,0.551813996,Male,20
11,male11,114.0338604,0.56886489,Male,1
11,male11,113.3651629,0.56886489,Male,2
11,male11,113.7825674,0.56886489,Male,3
11,male11,,0.56886489,Male,4
11,male11,,0.56886489,Male,5
11,male11,,0.56886489,Male,6
11,male11,,0.56886489,Male,7
11,male11,,0.56886489,Male,8
11,male11,115.7353179,0.56886489,Male,9
11,male11,104.2522765,0.56886489,Male,10
11,male11,99.64850436,0.56886489,Male,11
11,male11,110.1317654,0.56886489,Male,12
11,male11,,0.56886489,Male,13
11,male11,152.7538947,0.56886489,Male,14
11,male11,155.0052281,0.56886489,Male,15
11,male11,156.2200433,0.56886489,Male,16
11,male11,165.3111862,0.56886489,Male,17
11,male11,172.4447201,0.56886489,Male,18
11,male11,172.0391888,0.56886489,Male,19
11,male11,168.6669813,0.56886489,Male,20
12,male12,112.0636808,0.545578847,Male,1
12,male12,112.3518055,0.545578847,Male,2
12,male12,112.1121357,0.545578847,Male,3
12,male12,,0.545578847,Male,4
12,male12,,0.545578847,Male,5
12,male12,,0.545578847,Male,6
12,male12,,0.545578847,Male,7
12,male12,115.8641816,0.545578847,Male,8
12,male12,113.3462341,0.545578847,Male,9
12,male12,101.1741179,0.545578847,Male,10
12,male12,96.0036382,0.545578847,Male,11
12,male12,109.466884,0.545578847,Male,12
12,male12,113.8038434,0.545578847,Male,13
12,male12,157.5601592,0.545578847,Male,14
12,male12,160.0560209,0.545578847,Male,15
12,male12,161.4060462,0.545578847,Male,16
12,male12,170.4833671,0.545578847,Male,17
12,male12,179.9323985,0.545578847,Male,18
12,male12,182.1350331,0.545578847,Male,19
12,male12,178.7118321,0.545578847,Male,20
2,male2,113.9946202,0.575037653,Male,1
2,male2,115.772772,0.575037653,Male,2
2,male2,119.0366372,0.575037653,Male,3
2,male2,,0.575037653,Male,4
2,male2,,0.575037653,Male,5
2,male2,,0.575037653,Male,6
2,male2,,0.575037653,Male,7
2,male2,140.0455452,0.575037653,Male,8
2,male2,131.3638629,0.575037653,Male,9
2,male2,120.1619521,0.575037653,Male,10
2,male2,115.5933599,0.575037653,Male,11
2,male2,115.1763509,0.575037653,Male,12
2,male2,,0.575037653,Male,13
2,male2,111.6967389,0.575037653,Male,14
2,male2,106.1399296,0.575037653,Male,15
2,male2,97.96533186,0.575037653,Male,16
2,male2,94.52200398,0.575037653,Male,17
2,male2,94.04997564,0.575037653,Male,18
2,male2,92.96241344,0.575037653,Male,19
2,male2,92.01060379,0.575037653,Male,20
3,male3,113.8905758,0.592351912,Male,1
3,male3,114.4448548,0.592351912,Male,2
3,male3,118.0161297,0.592351912,Male,3
3,male3,,0.592351912,Male,4
3,male3,,0.592351912,Male,5
3,male3,,0.592351912,Male,6
3,male3,,0.592351912,Male,7
3,male3,136.4882381,0.592351912,Male,8
3,male3,126.6715335,0.592351912,Male,9
3,male3,118.1082665,0.592351912,Male,10
3,male3,114.5393725,0.592351912,Male,11
3,male3,114.9526688,0.592351912,Male,12
3,male3,,0.592351912,Male,13
3,male3,115.9808496,0.592351912,Male,14
3,male3,108.0338542,0.592351912,Male,15
3,male3,103.3253077,0.592351912,Male,16
3,male3,102.6356157,0.592351912,Male,17
3,male3,102.5543216,0.592351912,Male,18
3,male3,101.0423651,0.592351912,Male,19
3,male3,101.9803175,0.592351912,Male,20
4,male4,112.7334494,0.56867455,Male,1
4,male4,116.0093309,0.56867455,Male,2
4,male4,119.6429539,0.56867455,Male,3
4,male4,,0.56867455,Male,4
4,male4,,0.56867455,Male,5
4,male4,,0.56867455,Male,6
4,male4,,0.56867455,Male,7
4,male4,133.8320783,0.56867455,Male,8
4,male4,124.2591099,0.56867455,Male,9
4,male4,114.3579895,0.56867455,Male,10
4,male4,113.3787587,0.56867455,Male,11
4,male4,116.9337674,0.56867455,Male,12
4,male4,121.1767669,0.56867455,Male,13
4,male4,120.9593238,0.56867455,Male,14
4,male4,115.229886,0.56867455,Male,15
4,male4,110.5960316,0.56867455,Male,16
4,male4,110.7459434,0.56867455,Male,17
4,male4,111.4719649,0.56867455,Male,18
4,male4,110.2563904,0.56867455,Male,19
4,male4,109.0866889,0.56867455,Male,20
5,male5,112.6363195,0.573674595,Male,1
5,male5,113.1803988,0.573674595,Male,2
5,male5,117.2570747,0.573674595,Male,3
5,male5,,0.573674595,Male,4
5,male5,,0.573674595,Male,5
5,male5,,0.573674595,Male,6
5,male5,,0.573674595,Male,7
5,male5,131.9981076,0.573674595,Male,8
5,male5,125.3080853,0.573674595,Male,9
5,male5,114.3837239,0.573674595,Male,10
5,male5,111.300584,0.573674595,Male,11
5,male5,114.8066332,0.573674595,Male,12
5,male5,,0.573674595,Male,13
5,male5,125.6950817,0.573674595,Male,14
5,male5,122.2799226,0.573674595,Male,15
5,male5,117.5906523,0.573674595,Male,16
5,male5,118.6541956,0.573674595,Male,17
5,male5,120.2057003,0.573674595,Male,18
5,male5,119.2188467,0.573674595,Male,19
5,male5,117.4259031,0.573674595,Male,20
6,male6,112.0405573,0.574575365,Male,1
6,male6,112.6065448,0.574575365,Male,2
6,male6,116.7160357,0.574575365,Male,3
6,male6,,0.574575365,Male,4
6,male6,,0.574575365,Male,5
6,male6,,0.574575365,Male,6
6,male6,,0.574575365,Male,7
6,male6,129.7620661,0.574575365,Male,8
6,male6,123.1588569,0.574575365,Male,9
6,male6,111.7910113,0.574575365,Male,10
6,male6,109.8325656,0.574575365,Male,11
6,male6,113.1594215,0.574575365,Male,12
6,male6,,0.574575365,Male,13
6,male6,130.1644361,0.574575365,Male,14
6,male6,127.8454778,0.574575365,Male,15
6,male6,124.2320832,0.574575365,Male,16
6,male6,126.796077,0.574575365,Male,17
6,male6,129.0656087,0.574575365,Male,18
6,male6,127.7771206,0.574575365,Male,19
6,male6,126.0657666,0.574575365,Male,20
7,male7,111.3786564,0.567334221,Male,1
7,male7,112.4299667,0.567334221,Male,2
7,male7,113.8252519,0.567334221,Male,3
7,male7,,0.567334221,Male,4
7,male7,,0.567334221,Male,5
7,male7,,0.567334221,Male,6
7,male7,,0.567334221,Male,7
7,male7,127.2512361,0.567334221,Male,8
7,male7,118.7227797,0.567334221,Male,9
7,male7,107.7626985,0.567334221,Male,10
7,male7,108.464232,0.567334221,Male,11
7,male7,114.8201991,0.567334221,Male,12
7,male7,,0.567334221,Male,13
7,male7,134.9099327,0.567334221,Male,14
7,male7,132.8512885,0.567334221,Male,15
7,male7,131.0500158,0.567334221,Male,16
7,male7,135.0321632,0.567334221,Male,17
7,male7,137.8246049,0.567334221,Male,18
7,male7,136.4974877,0.567334221,Male,19
7,male7,134.4420933,0.567334221,Male,20
8,male8,110.9502114,0.56417617,Male,1
8,male8,111.1894438,0.56417617,Male,2
8,male8,115.4008092,0.56417617,Male,3
8,male8,,0.56417617,Male,4
8,male8,,0.56417617,Male,5
8,male8,,0.56417617,Male,6
8,male8,,0.56417617,Male,7
8,male8,124.9542288,0.56417617,Male,8
8,male8,118.2855865,0.56417617,Male,9
8,male8,107.1220198,0.56417617,Male,10
8,male8,106.1231613,0.56417617,Male,11
8,male8,114.9985187,0.56417617,Male,12
8,male8,,0.56417617,Male,13
8,male8,139.5435527,0.56417617,Male,14
8,male8,138.5757174,0.56417617,Male,15
8,male8,137.5600337,0.56417617,Male,16
8,male8,142.637805,0.56417617,Male,17
8,male8,146.5349332,0.56417617,Male,18
8,male8,145.5312385,0.56417617,Male,19
8,male8,143.0978346,0.56417617,Male,20
9,male9,110.4669556,0.565070416,Male,1
9,male9,110.3674934,0.565070416,Male,2
9,male9,114.6439147,0.565070416,Male,3
9,male9,,0.565070416,Male,4
9,male9,,0.565070416,Male,5
9,male9,,0.565070416,Male,6
9,male9,,0.565070416,Male,7
9,male9,122.7160913,0.565070416,Male,8
9,male9,116.8662156,0.565070416,Male,9
9,male9,105.0226321,0.565070416,Male,10
9,male9,104.490155,0.565070416,Male,11
9,male9,116.6641827,0.565070416,Male,12
9,male9,,0.565070416,Male,13
9,male9,144.1573447,0.565070416,Male,14
9,male9,143.9562273,0.565070416,Male,15
9,male9,144.3278052,0.565070416,Male,16
9,male9,151.1342814,0.565070416,Male,17
9,male9,155.3987716,0.565070416,Male,18
9,male9,153.9132906,0.565070416,Male,19
9,male9,152.367261,0.565070416,Male,20